Station code,Station name,Type of water body,srcStateName,Minimum temperature of water for different water bodies,Maximum temperature of water for different water bodies,Minimum dissolved oxygen.,Maximum dissolved oxygen,Minimum potential of Hydrogen(Ph) values.,Maximum potential of Hydrogen(Ph) values.,Minimum conductivity required for water quality for different water bodies,Maximum conductivity required for water quality for different water bodies,Minimum biochemical oxygen demand (BOD) required for water quality,Maximum biochemical oxygen demand (BOD) required for water quality,Minimum  of Nitrate N + Nitrite N required for different water bodies,Maximum  of Nitrate N + Nitrite N required for different water bodies,Minimum  of Faecal Coliforms(coliform bacteria is associated with faecal matter) .,Maximum   of Faecal Coliforms(coliform bacteria is associated with faecal matter) .,Minimum  of total coliform required for different water bodies,Maximum  of total coliform required for different water bodies,srcYear,YearCode,Year
2057,"AGRA CANAL, MADANPUR KHADAR",CANAL,DELHI,,,,,,,,,,,,,100000,20000000000,100000,,2012,2012,"Calendar Year (Jan - Dec), 2012"
2265,"CANAL UP STREAM OF CUNCOLIM INDL.EST. CUNCOLIM,SALCETE",CANAL,GOA,27,34,7.5,7.8,5.5,5.9,50,61,1,1.6,0.06,0.11,7,7,150,,2012,2012,"Calendar Year (Jan - Dec), 2012"
2266,"CANAL DOWNSTREAM OF CUNCOLIM INDL.EST. CUNCOLIM,SALCETE",CANAL,GOA,29,34,7.5,8.1,5.8,6.1,48,156,0.7,2.1,0.04,0.1,,,120,,2012,2012,"Calendar Year (Jan - Dec), 2012"
2268,CUMBARJUA CANAL CORLIM(DISCHARGE POINT OF SYNGENTA LIMITED),CANAL,GOA,26,33,3.3,6.7,5.5,7.4,3,1313,0.6,4.6,0.02,0.34,4,2600,150,,2012,2012,"Calendar Year (Jan - Dec), 2012"
2836,"MORAMBAMARINE, DISTT. THOUBAL, MANIPUR",CANAL,MANIPUR,,,,,,,,,,,,,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
2073,"NARMADA MAIN CANAL, NR. VILLAGE. LIMBADIA, DIST. GANDHINAGAR.",CANAL,GUJARAT,26,28,6.6,9.4,7.4,8.6,182,344,1,6,0,0.87,7,9,21,,2012,2012,"Calendar Year (Jan - Dec), 2012"
2354,"SAMARLA KOTA CANAL, KAKINADA, EAST GODAVARI",CANAL,ANDHRA PRADESH,25,30,5.2,6.3,5.8,7.7,241,406,1,2.1,0.4,1.8,4,11,43,150,2016,2016,"Calendar Year (Jan - Dec), 2016"
1113,"WESTERN YAMUNA CANAL WC-5 SIRSA BRANCH AT ROAD BRIDGE, KARNAL",CANAL,HARYANA,,,,,7.1,7.1,168,214,1.8,2.2,,,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
2074,"TAPI CANAL AT VILLAGE UMARWADA, NEAR GIDC ESTATE OF PANOLI.",CANAL,GUJARAT,27,33,4.2,8.8,7.7,8.4,241,1270,0.7,5,0.04,1.19,2,230,2,,2012,2012,"Calendar Year (Jan - Dec), 2012"
1479,WESTERN YAMUNA CANAL AT HAIDERPUR WATER WORKS,CANAL,DELHI,,,,,,,,,,,,,13000,30000,30000,,2012,2012,"Calendar Year (Jan - Dec), 2012"
1111,W.YAM. CANAL C-3 DELHI BRANCH AT R.D.245250,CANAL,HARYANA,18,32,7,7.6,7.1,8.2,184,254,1.4,1.7,0,0.2,,,,,2012,2012,"Calendar Year (Jan - Dec), 2012"
20022,"LUDHIANA-1, BHATTIAN",STP,PUNJAB,,,,,6.7,8.4,,,23,160,,,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
,PAMBA,STP,KERALA,,,,,6,9.3,,,20,290,,,,,,,2018,2018,"Calendar Year (Jan - Dec), 2018"
,SATLUJ JALANDHAR,STP,PUNJAB,,,,,6.9,7.8,,,23,160,,,6.8,6.8,170,170,2018,2018,"Calendar Year (Jan - Dec), 2018"
,TALADANDA AT BIRIBATI,CANAL,ODISHA,24,29,5.9,7.8,7.3,7.7,154,299,1.5,3.3,0.452,0.587,16000,160000,16000,160000,2018,2018,"Calendar Year (Jan - Dec), 2018"
3067,"OUTLET OF STP ON GODAVARI, RAJAHMUNDRY, EAST GODAVARI",DRAINS,ANDHRA PRADESH,21,27,5.4,6.2,7,7.8,220,420,1,1.2,0.2,2.44,3,28,240,2400,2012,2012,"Calendar Year (Jan - Dec), 2012"
3066,"OUTLET OF STP ON GODAVARI, BHADRACHALAM, KHAMMAM",DRAINS,ANDHRA PRADESH,20,22,0.8,4.5,6.7,7.1,580,1699,0.4,5.8,0.2,6.2,4,6,1700,2700,2012,2012,"Calendar Year (Jan - Dec), 2012"
3065,"OUTLET OF 14MLD STP ON GODAVARI, RAMAGUNDAM, KARIMNAGAR",DRAINS,ANDHRA PRADESH,26,34,0,8.2,7,8.5,886,1586,12,120,0,13.8,160,900,1600,1600,2012,2012,"Calendar Year (Jan - Dec), 2012"
3064,"OUTLET OF 4MLD STP ON GODAVARI AT RAMAGUNDAM, KARIMNAGAR",DRAINS,ANDHRA PRADESH,26,32,0,2.3,7.1,8.8,1112,1627,14,60,0,6,300,500,900,900,2012,2012,"Calendar Year (Jan - Dec), 2012"
3063,"OUTLET OF STP ON RIVER GODAVARI AT MANCHERIAL, ADILABAD",DRAINS,ANDHRA PRADESH,27,29,3.2,4.2,6.9,8.3,264,2314,26,120,2,34,28,160,150,580,2012,2012,"Calendar Year (Jan - Dec), 2012"
3062,"OUTLET OF STP, SAROOR NAGAR, RANGAREDDY",DRAINS,ANDHRA PRADESH,22,29,0.6,6.4,7,8.2,1437,2153,14,35,0,56,300,900,330,1600,2012,2012,"Calendar Year (Jan - Dec), 2012"
3061,"OUTLET OF STP, NALLACHERUVU ON MUSI, RANGAREDDY",DRAINS,ANDHRA PRADESH,25,29,0,6.9,7.3,8.2,1304,2157,10,65,0,47.8,90,300,10,1460,2012,2012,"Calendar Year (Jan - Dec), 2012"
3060,"OUTLET OF STP, DURGAM CHERUVU, RANGAREDDY",DRAINS,ANDHRA PRADESH,2,32,1.2,6.2,7.7,8.6,1405,2625,0.4,40,0,6.6,140,500,1600,1600,2012,2012,"Calendar Year (Jan - Dec), 2012"
3059,"OUTLET OF STP, SAFILGUDA LAKE, RANGA REDDY",DRAINS,ANDHRA PRADESH,20,29,0,4,7,8.4,1133,1992,3.3,80,0,32.3,170,500,900,1600,2012,2012,"Calendar Year (Jan - Dec), 2012"
3058,"OUTLET OF STP, KHAIRATABAD ON HUSSAINSAGAR LAKE, RANGA REDDY",DRAINS,ANDHRA PRADESH,23,31,1,5.3,6.4,8.1,759,1229,12,49,0,35,170,1600,500,1600,2012,2012,"Calendar Year (Jan - Dec), 2012"
