station code,Station name,Type of water body,srcYear,srcStateName,Minimum temperature of water,Maximum temperature of water,Minimum dissolved oxygen.,Maximum dissolved oxygen.,Minimum potential of Hydrogen(Ph) values.,Maximum potential of Hydrogen(Ph) values.,Minimum conductivity required for water quality,Maximum conductivity required for water quality,Minimum biochemical oxygen demand (BOD) required for water quality,Maximum biochemical oxygen demand (BOD) required for water quality,Minimum  of Nitrate N + Nitrite N required,Maximum  of Nitrate N + Nitrite N required,Minimum  of Faecal Coliforms(coliform bacteria is associated with faecal matter) .,Maximum   of Faecal Coliforms(coliform bacteria is associated with faecal matter) .,Minimum coliform required for different water bodies,Maximum coliform required for different water bodies,YearCode,Year
3586,LIMBHABUDILAKE,LAKE,2019,KARNATAKA,20,31,,6.2,6.7,8.6,552,1579,3.8,52,1.5,9.6,1100,9300,5800,47000,2019,"Calendar Year (Jan - Dec), 2019"
3584,DALAVAILAKE,LAKE,2019,KARNATAKA,20,30,,3.8,7.4,9,746,1164,10.4,23.8,2.8,8.3,1100,8200,7000,21000,2019,"Calendar Year (Jan - Dec), 2019"
1971,THOLTANK(KALOL)(DIST.MEHASANA),TANK,2019,GUJARAT,25,29,,8.7,7.3,8.6,367,1992,2.2,81,0,0.13,4,84,6,150,2019,"Calendar Year (Jan - Dec), 2019"
4249,"RANGASAMUDRAM,WARANGAL",TANK,2019,TELANGANA,26,30,,1.6,7.2,7.8,1015,1893,12,28,2,6,20,350,230,540,2019,"Calendar Year (Jan - Dec), 2019"
3077,"KAPRACHERUVU,KAPRA,RANGAREDDY",POND,2019,TELANGANA,22,30,,2.2,7,7.8,1401,1812,12,26,5.6,10,16,217,280,540,2019,"Calendar Year (Jan - Dec), 2019"
2359,PEDDACHERUVU,POND,2019,TELANGANA,25,30,,3.2,7.2,8.3,376,1672,18,40,0.4,21.5,14,86,320,540,2019,"Calendar Year (Jan - Dec), 2019"
2341,"MIRALAMLAKENEARZOOPARK,RANGAREDDY",LAKE,2019,TELANGANA,25,30,,2.4,6.9,7.6,1503,1759,10,26,3.02,11,22,36,320,430,2019,"Calendar Year (Jan - Dec), 2019"
3644,MULBHAGALLAKE,LAKE,2019,KARNATAKA,22,34,,3.8,7.1,9.3,2200,4930,13,54,1.1,16,940,35000,5400,160000,2019,"Calendar Year (Jan - Dec), 2019"
4228,"IBRAHIMCHERUVU,RAJENDRANAGAR",TANK,2019,TELANGANA,28,28,0,,7.2,7.6,1669,1858,28,34,15.1,17.2,46,80,350,390,2019,"Calendar Year (Jan - Dec), 2019"
1971,THOLTANK(KALOL)(DIST.MEHASANA),TANK,2018,GUJARAT,27,30,,9.8,,8.2,341,2154,5,166,0,0.6,4,45,17,350,2018,"Calendar Year (Jan - Dec), 2018"
3178,RAIALAKE,LAKE,2019,GOA,27,30,4.6,9.5,6.3,7.8,60,329,,12,0,7.8,20,4900,40,7900,2019,"Calendar Year (Jan - Dec), 2019"
3177,CARAMBOLIMLAKE,LAKE,2019,GOA,26,30,5.7,8.2,6.2,8.4,29,12045,,3,0.05,2.15,78,1700,130,5400,2019,"Calendar Year (Jan - Dec), 2019"
2912,"RANJITSAGARRESERVOIR,PUNJAB",LAKE,2019,PUNJAB,10,28,7.2,8.9,7.2,7.9,152,226,,1,0.1,0.1,26,43,63,84,2019,"Calendar Year (Jan - Dec), 2019"
