station code,Station name,srcStateName,srcYear,Minimum temperature for medium and minor rivers,Maximum temperature for medium and minor rivers,Minimum value of dissolved oxygen,Maximum value of dissolved oxygen,Minimum potential of Hydrogen value in water,Maximum potential of Hydrogen value in water,Minimum Conductivity Level,Maximum Conductivity Level,Minimum Biochemical oxygen demand,Maximum Biochemical oxygen demand,Minimum  of Nitrate N + Nitrite N required for medium and minor rivers,Maximum  of Nitrate N + Nitrite N required for medium and minor rivers,Minimum  of Faecal Coliforms for medium and minor rivers,Maximum   of Faecal Coliforms for medium and minor rivers,Minimum  of total coliform for medium and minor rivers,Maximum  of total coliform for medium and minor rivers,YearCode,Year
1092,"KALU AT ATALE VILLAGE, KALYAN, THANE",MAHARASHTRA,2017,27,35,,7.3,6.4,7.8,121,15450,3.2,75,0.5,7.3,22,170,110,540,2017,"Calendar Year (Jan - Dec), 2017"
2168,"MITHI RIVER, MAHIM, BANDRA, MUMBAI",MAHARASHTRA,2017,23,33,,5.6,6.6,7.6,297,2139,6,250,0.3,4.3,540,1600,920,1600,2017,"Calendar Year (Jan - Dec), 2017"
1024,"GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA), PUNJAB",PUNJAB,2017,9,28,,4.3,7.4,8.2,337,1833,7,90,0.09,1.6,2000,12000,15000,70000,2017,"Calendar Year (Jan - Dec), 2017"
1024,GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA),PUNJAB,2018,14,30,,3.4,7.2,7.9,607,2066,14,110,0.52,1.8,3300,13000,24000,54000,2018,"Calendar Year (Jan - Dec), 2018"
1473,"GHAGGAR AT RATANHERI, D/S OF PATIALA NADI",PUNJAB,2018,11,29,,4,7.1,8,607,2187,14,58,0.21,1.4,2700,21000,21000,63000,2018,"Calendar Year (Jan - Dec), 2018"
1703,"GHAGGER AT MOONAK, PUNJAB",PUNJAB,2018,15,31,,24,6.6,8,418,1775,12,68,0.42,2.1,2600,11000,21000,35000,2018,"Calendar Year (Jan - Dec), 2018"
3204,"VISHWAMITRI DOWNSTREAM OF AT KHALIPUR VILLAGE, BEFORE MEETING JAMBUVA RIVER",GUJARAT,2019,20,29,,3.1,7,7.8,305,1554,1.8,38,0.42,1.06,96,1800,540,1800,2019,"Calendar Year (Jan - Dec), 2019"
1438,"MINDHOLA AT STATE HIGHWAY BRIDGE SACHIN,",GUJARAT,2019,26,31,,6.7,7.2,7.4,633,4238,1,28,0.03,0.23,6,27,53,143,2019,"Calendar Year (Jan - Dec), 2019"
1865,DHADAR RIVER AT KOTHADA,GUJARAT,2019,27,32,,1.8,7.1,7.9,530,1673,2.7,33,0.34,2.16,210,1600,520,1600,2019,"Calendar Year (Jan - Dec), 2019"
1436,"BHADAR D/S JETPUR VILL. AFTER CONF. OF W.WATER FROM JETPUR CITY,",GUJARAT,2019,25,31,,6.7,7.4,8.8,717,11920,2.2,258.6,0.22,0.61,17,49,110,170,2019,"Calendar Year (Jan - Dec), 2019"
1980,AMLAKHADI AT PUNGAM ANKLESHWAR DISTT BHARUCH,GUJARAT,2019,28,33,,4.4,7.1,7.8,876,3230,2,43,0.13,0.88,70,140,170,460,2019,"Calendar Year (Jan - Dec), 2019"
1434,AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,GUJARAT,2019,28,34,,4.4,7.2,8.1,865,2720,2,49,0.19,0.89,220,1400,1100,4000,2019,"Calendar Year (Jan - Dec), 2019"
4160,"D/S AFTER MIXING WITH SAGARPARA DRAIN AT VILL RASOULI, PATIALA",PUNJAB,2019,13,36,,3.6,7,8,750,2040,14,66,0.66,1.49,3100,9200,24000,48000,2019,"Calendar Year (Jan - Dec), 2019"
1705,"GHAGGAR AT U/S SARDULGARH, PUNJAB",PUNJAB,2019,14,34,,6.5,7.4,7.9,313,1390,6,60,0.32,0.93,1500,4100,12000,24000,2019,"Calendar Year (Jan - Dec), 2019"
1704,"GHAGGAR AT D/S SARDULGARH, PUNJAB",PUNJAB,2019,14,33,,5.9,7.5,7.9,394,1410,8,64,0.51,1.02,1700,8400,17000,35000,2019,"Calendar Year (Jan - Dec), 2019"
2703,"SAVITRI RIVER AT DADLI BRIDGE, DADLI, MAHAD, RAIGADH",MAHARASHTRA,2019,17,35,,6.9,6.5,7.7,51,29790,2,50,0.22,1.4,5,920,46,1600,2019,"Calendar Year (Jan - Dec), 2019"
2168,"MITHI RIVER, MAHIM, BANDRA, MUMBAI",MAHARASHTRA,2019,22,37,,7.3,6.1,7.8,129,58970,3,50,0.1,2.4,13,3500,46,9200,2019,"Calendar Year (Jan - Dec), 2019"
4162,"CONFLUENCE POINT OF SUKHANA CHOE WITH RIVER GHAGGAR, VILL MUBARKPUR",PUNJAB,2019,13,35,,,7,8,731,1227,30,210,0.98,2.51,49000,210000,140000,430000,2019,"Calendar Year (Jan - Dec), 2019"
3183,"RIVER SAL AT KHAREBAND, MARGAO",GOA,2019,28,30,,4.1,6.3,7.9,97,478,,6,0.39,45,7900,350000,13000,540000,2019,"Calendar Year (Jan - Dec), 2019"
2276,"RIVER BICHOLIM VARAZAN NAGAR , BICHOLIM",GOA,2018,26,32,5.2,13,6.1,8.8,48,411,,5.6,0.15,0.63,3300,24000,7900,92000,2018,"Calendar Year (Jan - Dec), 2018"
2442,GAUTAMI-GODAVARI RIVER NEAR BALAYOGI BRIDGE,PUDUCHERRY,2017,30,30,9.4,9.4,8.5,8.5,6190,6190,,,0.09,0.09,,,,,2017,"Calendar Year (Jan - Dec), 2017"
2443,GAUTAMI-GODAVARI RIVER NEAR ADAVIPOLAM,PUDUCHERRY,2017,30,30,8.5,8.5,8.3,8.3,10160,10160,,,0.08,0.08,,,,,2017,"Calendar Year (Jan - Dec), 2017"
2270,"RIVER KHANDEPAR AT CODLI NEAR BRIDGE , U/S OPA WAT",GOA,2018,26,32,5.2,8.1,6.5,8.4,44,228,,4.2,,0.56,130,4900,220,7000,2018,"Calendar Year (Jan - Dec), 2018"
2272,"RIVER KUSHAWATI NEAR BUND AT KEVONA, RIVON, SANGUE",GOA,2018,27,31.1,5.9,7.8,6.5,7.6,47,220,,3.5,,0.73,780,4900,1100,7900,2018,"Calendar Year (Jan - Dec), 2018"
2275,"RIVER CHAPORA NEAR ALORNA FORT , PERNEM",GOA,2018,26,33,4.8,7.9,6.6,8.2,66,7108,,2.2,,1.46,780,13000,1300,24000,2018,"Calendar Year (Jan - Dec), 2018"
3191,RIVER SINQUERIM NEAR NERUL TEMPLE,GOA,2019,26,32,5,6.3,6.1,7.9,7600,53220,,1.7,0.04,0.82,130,2300,310,3500,2019,"Calendar Year (Jan - Dec), 2019"
